epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.12503,4.0639,4.98694,2.61259,0,0,0,0,3.67793,5.08902,2.80395,0.000202,0.000202,0.000202
2,9.58483,3.46626,4.78013,2.38407,0.00045,0.02857,0.00068,7e-05,3.27158,4.86257,2.59544,0.0005,0.0005,0.0005
3,13.7453,3.27864,4.75122,2.32026,0.00045,0.02857,0.00068,7e-05,3.27158,4.86257,2.59544,0.000792002,0.000792002,0.000792002
4,17.9626,3.15467,4.63831,2.22038,0.00105,0.11429,0.00483,0.0018,3.71248,4.73634,2.78748,0.000882003,0.000882003,0.000882003
5,21.9801,2.70396,4.40844,1.94117,0.00105,0.11429,0.00483,0.0018,3.71248,4.73634,2.78748,0.000873004,0.000873004,0.000873004
6,26.1683,2.74525,4.46512,1.9464,0.00083,0.11429,0.01398,0.0021,3.2999,4.58817,3.04634,0.000864004,0.000864004,0.000864004
7,30.2087,2.50346,4.13203,1.75523,0.00083,0.11429,0.01398,0.0021,3.2999,4.58817,3.04634,0.000855005,0.000855005,0.000855005
8,34.4727,2.37309,4.16795,1.78907,0.00083,0.11429,0.01398,0.0021,3.2999,4.58817,3.04634,0.000846006,0.000846006,0.000846006
9,38.5018,2.20827,3.88796,1.71553,0.00163,0.14286,0.05901,0.01637,2.85144,4.46126,2.70206,0.000837007,0.000837007,0.000837007
10,42.6585,2.22693,3.88892,1.67057,0.00163,0.14286,0.05901,0.01637,2.85144,4.46126,2.70206,0.000828008,0.000828008,0.000828008
11,46.9545,2.13298,3.7249,1.62204,0.00296,0.18571,0.13571,0.04474,2.34085,4.23533,2.21111,0.000819009,0.000819009,0.000819009
12,51.2465,2.10952,3.44204,1.64028,0.00296,0.18571,0.13571,0.04474,2.34085,4.23533,2.21111,0.00081001,0.00081001,0.00081001
13,55.6621,2.14237,3.36684,1.60496,0.0061,0.30476,0.08643,0.03025,2.0064,4.06644,1.82565,0.000801011,0.000801011,0.000801011
14,59.9752,2.22224,3.13602,1.65061,0.0061,0.30476,0.08643,0.03025,2.0064,4.06644,1.82565,0.000792012,0.000792012,0.000792012
15,64.2135,1.96519,2.99548,1.59307,0.0061,0.30476,0.08643,0.03025,2.0064,4.06644,1.82565,0.000783013,0.000783013,0.000783013
16,68.5112,1.95721,2.85006,1.55636,0.00954,0.4,0.23166,0.07813,1.91588,3.85424,1.7211,0.000774013,0.000774013,0.000774013
17,72.7848,1.91084,2.86324,1.56437,0.00954,0.4,0.23166,0.07813,1.91588,3.85424,1.7211,0.000765014,0.000765014,0.000765014
18,77.4056,2.04338,2.84865,1.51289,0.01848,0.64286,0.34648,0.16805,2.01854,3.55914,1.76658,0.000756015,0.000756015,0.000756015
19,81.5511,2.01885,2.80016,1.5392,0.01848,0.64286,0.34648,0.16805,2.01854,3.55914,1.76658,0.000747016,0.000747016,0.000747016
20,85.8687,1.87632,2.73831,1.53848,0.02078,0.70952,0.41934,0.15304,2.18101,3.35384,1.90968,0.000738017,0.000738017,0.000738017
21,89.9815,1.7529,2.52106,1.42794,0.02078,0.70952,0.41934,0.15304,2.18101,3.35384,1.90968,0.000729018,0.000729018,0.000729018
22,94.1791,1.94411,2.47275,1.48192,0.02078,0.70952,0.41934,0.15304,2.18101,3.35384,1.90968,0.000720019,0.000720019,0.000720019
23,98.7465,2.03227,2.44894,1.49101,0.61537,0.21429,0.4782,0.19808,2.01994,2.93901,1.82839,0.00071102,0.00071102,0.00071102
24,102.922,1.71363,2.31755,1.4719,0.61537,0.21429,0.4782,0.19808,2.01994,2.93901,1.82839,0.000702021,0.000702021,0.000702021
25,107.191,1.75626,2.23308,1.49198,0.02571,0.88095,0.56479,0.26105,1.84044,2.94178,1.66166,0.000693022,0.000693022,0.000693022
26,111.422,1.7337,2.45837,1.49323,0.02571,0.88095,0.56479,0.26105,1.84044,2.94178,1.66166,0.000684022,0.000684022,0.000684022
27,115.773,1.64413,2.27845,1.41167,0.87953,0.09524,0.62958,0.31111,1.81261,2.90609,1.6804,0.000675023,0.000675023,0.000675023
28,119.908,2.0055,2.19833,1.44959,0.87953,0.09524,0.62958,0.31111,1.81261,2.90609,1.6804,0.000666024,0.000666024,0.000666024
29,124.163,1.76529,2.21668,1.47816,0.87953,0.09524,0.62958,0.31111,1.81261,2.90609,1.6804,0.000657025,0.000657025,0.000657025
30,128.267,1.72907,2.16996,1.4816,0.64233,0.28461,0.65683,0.33721,1.76889,2.5858,1.69272,0.000648026,0.000648026,0.000648026
