epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.53849,4.5604,4.88313,3.19993,0,0,0,0,3.97001,4.9156,2.85266,0,0,0
2,2.97861,4.78599,4.93143,3.29367,0,0,0,0,3.97001,4.9156,2.85266,0.0003,0.0003,0.0003
3,4.36066,4.26789,4.87321,3.14536,0,0,0,0,3.97001,4.9156,2.85266,0.000594001,0.000594001,0.000594001
4,5.80777,4.59152,4.9184,3.30375,0,0,0,0,3.97001,4.9156,2.85266,0.000882003,0.000882003,0.000882003
5,7.28347,4.71018,4.90592,3.17172,0,0,0,0,3.97001,4.9156,2.85266,0.000873004,0.000873004,0.000873004
6,8.73428,4.67479,5.02888,3.25126,0,0,0,0,3.97001,4.9156,2.85266,0.000864004,0.000864004,0.000864004
7,10.2618,4.3903,4.98256,3.03629,0,0,0,0,3.77419,4.72154,2.72253,0.000855005,0.000855005,0.000855005
8,11.6294,3.17942,4.42161,2.32241,0,0,0,0,3.77419,4.72154,2.72253,0.000846006,0.000846006,0.000846006
9,13.0052,3.17087,4.42093,2.30514,0,0,0,0,3.77419,4.72154,2.72253,0.000837007,0.000837007,0.000837007
10,14.4762,3.15299,4.51334,2.30564,0,0,0,0,3.77419,4.72154,2.72253,0.000828008,0.000828008,0.000828008
11,15.8176,3.05894,4.48159,2.44703,0,0,0,0,3.77419,4.72154,2.72253,0.000819009,0.000819009,0.000819009
12,17.2883,3.2445,4.56042,2.46788,0,0,0,0,3.77419,4.72154,2.72253,0.00081001,0.00081001,0.00081001
13,18.7344,3.12171,4.40097,2.34411,0.00112,0.07143,0.01414,0.00141,3.72527,4.48867,2.69584,0.000801011,0.000801011,0.000801011
14,20.1725,2.84398,3.93452,2.03184,0.00112,0.07143,0.01414,0.00141,3.72527,4.48867,2.69584,0.000792012,0.000792012,0.000792012
15,21.5359,2.58536,3.81526,1.98369,0.00112,0.07143,0.01414,0.00141,3.72527,4.48867,2.69584,0.000783013,0.000783013,0.000783013
16,22.885,2.65954,4.10168,2.06406,0.00112,0.07143,0.01414,0.00141,3.72527,4.48867,2.69584,0.000774013,0.000774013,0.000774013
17,24.3746,2.83678,4.01806,2.05803,0.00112,0.07143,0.01414,0.00141,3.72527,4.48867,2.69584,0.000765014,0.000765014,0.000765014
18,25.8541,2.64804,3.88901,2.01826,0.00112,0.07143,0.01414,0.00141,3.72527,4.48867,2.69584,0.000756015,0.000756015,0.000756015
19,27.3211,2.70633,3.86967,1.98661,0.00287,0.14286,0.03672,0.00367,2.76795,4.25213,2.04283,0.000747016,0.000747016,0.000747016
20,28.6518,2.54377,3.68342,1.91437,0.00287,0.14286,0.03672,0.00367,2.76795,4.25213,2.04283,0.000738017,0.000738017,0.000738017
21,30.0507,2.49683,3.48077,1.91403,0.00287,0.14286,0.03672,0.00367,2.76795,4.25213,2.04283,0.000729018,0.000729018,0.000729018
22,31.4315,2.61481,3.87687,1.91338,0.00287,0.14286,0.03672,0.00367,2.76795,4.25213,2.04283,0.000720019,0.000720019,0.000720019
23,32.8481,2.87032,3.53525,2.04968,0.00287,0.14286,0.03672,0.00367,2.76795,4.25213,2.04283,0.00071102,0.00071102,0.00071102
24,34.2561,2.7799,3.47278,1.80232,0.00287,0.14286,0.03672,0.00367,2.76795,4.25213,2.04283,0.000702021,0.000702021,0.000702021
25,35.699,2.47755,3.69349,1.89735,0.00438,0.14286,0.07205,0.01428,2.60728,4.27941,1.96473,0.000693022,0.000693022,0.000693022
26,37.0472,2.53523,3.12287,1.81434,0.00438,0.14286,0.07205,0.01428,2.60728,4.27941,1.96473,0.000684022,0.000684022,0.000684022
27,38.482,2.44762,3.11188,1.79036,0.00438,0.14286,0.07205,0.01428,2.60728,4.27941,1.96473,0.000675023,0.000675023,0.000675023
28,39.8879,2.39675,3.06982,1.73637,0.00438,0.14286,0.07205,0.01428,2.60728,4.27941,1.96473,0.000666024,0.000666024,0.000666024
